ord,task_id,label_str,qtd
87,3c9b0459,rotation,28
88,3de23699,extraction,1
89,3e980e27,completion,8
90,3eda0437,filling,16
91,3f7978a0,extraction,1
92,40853293,connection,9
93,4093f84a,attraction,5
94,41e4d17e,construction,11
95,4258a5f9,selection,30
96,4290ef0e,alignment,3
97,42a50994,removal,25
98,4347f46a,removal,25
99,444801d8,filling,16
100,445eab21,match_color,19
101,447fd412,pattern,22
102,44d8ac46,filling,16
103,44f52bb0,match_color,19
104,4522001f,reproduction,27
105,4612dd53,completion,8
106,46442a0e,extension,14
107,469497ad,construction,11
108,46f33fce,extension,14
109,47c1f68c,symmetry,32
110,484b58aa,completion,8
111,48d8fb45,extraction,1
112,4938f0c2,symmetry,32
113,496994bd,symmetry,32
114,49d1d64f,symmetry,32
115,4be741c5,match_color,19
116,4c4377d9,replication,26
117,4c5c2cf0,symmetry,32
118,50846271,contamination,12
119,508bd3b6,construction,11
120,50cb2852,nesting,21
121,5117e062,extraction,1
122,5168d44c,translation,33
123,539a4f51,full_filling,10
124,53b68214,replication,14
125,543a7ed5,nesting,14
126,54d82841,alignment,3
127,54d9e175,match_color,19
128,5521c0d9,translation,33
129,5582e5ca,match_color,19
130,5614dbcf,removal,25
131,56dc2b01,attraction,33
132,56ff96f3,connection,9
133,57aa92db,extension,14
134,5ad4f10b,extraction,1
135,5bd6f4ac,extraction,1
136,5c0a986e,construction,11
137,5c2c9af4,construction,11
138,5daaa586,extraction,1
139,60b61512,filling,16
140,6150a2bd,rotation,28
141,623ea044,construction,11
142,62c24649,symmetry,32
143,63613498,selection,30
144,6430c8c4,fence,15
145,6455b5f5,sequence,30
146,662c240a,unspecified,24
147,67385a82,selection,30
148,673ef223,connection,9
149,6773b310,selection,30
150,67a3c6ac,rotation,20
151,67a423a3,selection,30
152,67e8384a,symmetry,32
153,681b3aeb,assemble,4
154,6855a6e4,translation,33
155,68b16354,rotation,28
156,694f12f3,nesting,21
157,6a1e5592,attraction,33
158,6aa20dc0,completion,8
159,6b9890af,extraction,1
160,6c434453,replication,20
161,6cdd2623,connection,9
162,6cf79266,selection,30
163,6d0160f0,mapping,18
164,6d0aefbc,replication,27
165,6d58a25d,connection,9
166,6d75e8bb,filling,16
167,6e02f1e3,match_color,19
168,6e19193c,construction,15
169,6e82a1ae,match_color,13
170,6ecd11f4,match_color,19
171,6f8cd79b,nesting,21
172,6fa7a44f,symmetry,32
173,72322fa7,reproduction,7
174,72ca375d,extraction,1
175,73251a56,full_filling,22
176,7447852a,filling,11
177,7468f01a,rotation,28
178,746b3537,match_color,19
179,74dd1130,rotation,28
180,75b8110e,assemble,4
181,760b3cac,symmetry,32
182,776ffc46,match_color,19
183,77fdfe62,match_color,19
184,780d0b14,match_color,19
185,7837ac64,mapping,18
186,794b24be,counting,13
187,7b6016b9,match_color,19
188,7b7f7511,symmetry,32
189,7c008303,reproduction,27
190,7ddcd7ec,construction,15
191,7df24a62,selection,30
192,7e0986d6,extraction,1
193,7f4411dc,extraction,1
194,7fe24cdd,rotation,28
195,80af3007,mapping,7
196,810b9b61,match_color,19
197,82819916,extension,12
198,83302e8f,match_color,19
199,834ec97d,completion,11
200,8403a5d5,bars,6
201,846bdb03,placement,23
202,855e0971,bars,6
203,85c4e7cd,match_color,19
204,868de0fa,nesting,21
205,8731374e,extraction,11
206,88a10436,reproduction,27
207,88a62173,unspecified,26
208,890034e9,selection,23
209,8a004b2b,replication,26
210,8be77c9e,replication,26
211,8d5021e8,rotation,28
212,8d510a79,bars,6
213,8e1813be,match_color,19
214,8e5a5113,rotation,28
215,8eb1be9a,replication,26
216,8efcae92,reproduction,27
217,8f2ea7aa,mapping,18
218,90c28cc7,match_color,19
219,90f3ed37,bars,6
220,913fb3ed,nesting,21
221,91413438,mapping,18
222,91714a58,extraction,1
223,9172f3a0,match_color,19
224,928ad970,nesting,21
225,93b581b8,match_color,19
226,941d9a10,match_color,19
227,94f9d214,fence,15
228,952a094c,placement,23
229,9565186b,match_color,19
230,95990924,match_color,19
231,963e52fc,match_color,19
232,97999447,replication,22
233,97a05b5b,extraction,23
234,98cf29f8,attraction,23
235,995c5fa3,match_color,17
236,99b1bc43,fence,15
237,99fa7670,completion,11
238,9aec4887,reproduction,27
239,9af7a82c,sequence,17
240,9d9215db,pattern,11
241,9dfd6313,rotation,28
242,9ecd008a,completion,8
243,9edfc990,filling,2
244,9f236235,rotation,28
245,a1570a43,alignment,3
246,a2fd1cf0,connection,9
247,a3325580,match_color,19
248,a3df8b1e,construction,15
249,a416b8f3,replication,26
250,a48eeaf7,attraction,5
251,a5313dff,filling,16
252,a5f85a15,match_color,19
253,a61ba2ce,pattern,23
254,a61f2674,match_color,19
255,a64e4611,connection,9
256,a65b410d,pattern,15
257,a68b268e,addition,2
258,a699fb00,connection,9
259,a740d043,reproduction,27
260,a78176bb,construction,15
261,a79310a0,match_color,23
262,a85d4709,match_color,19
263,a87f7484,reproduction,27
264,a8c38be5,pattern,17
265,a8d7556c,filling,16
266,a9f96cdd,pattern,22
267,aabf363d,match_color,19
268,aba27056,construction,15
269,ac0a08a4,match_color,19
270,ae3edfdc,connection,9
271,ae4f1146,pattern,22
272,aedd82e4,match_color,19
273,af902bf9,alignment,3
274,b0c4d837,counting,13
275,b190f7f5,pattern,22
276,b1948b0a,match_color,19
277,b230c067,match_color,19
278,b27ca6d3,selection,30
279,b2862040,nesting,21
280,b527c5c6,extension,14
281,b548a754,extension,14
282,b60334d2,selection,30
283,b6afb2da,match_color,19
284,b7249182,completion,8
285,b775ac94,symmetry,32
286,b782dc8a,pattern,22
287,b8825c91,symmetry,32
288,b8cdaf2b,construction,11
289,b91ae062,mapping,18
290,b94a9452,selection,30
291,b9b7f026,selection,30
292,ba26e723,pattern,22
293,ba97ae07,filling,16
294,bb43febb,nesting,21
295,bbc9ae5d,pattern,15
296,bc1d5164,placement,23
297,bd4472b8,unspecified,6
298,bda2d7a6,nesting,21
299,bdad9b1f,bars,11
300,be94b721,reproduction,27
301,beb8660c,sequence,15
302,c0f76784,nesting,21
303,c1d99e64,filling,11
304,c3e719e8,mapping,7
305,c3f564a4,full_filling,10
306,c444b776,reproduction,27
307,c59eb873,reproduction,27
308,c8cbb738,placement,23
309,c8f0f002,match_color,19
310,c909285e,extraction,26
311,c9e6f938,rotation,28
312,c9f8e694,match_color,19
313,caa06a1f,selection,22
314,cbded52d,bars,6
315,cce03e0d,mapping,11
316,cdecee7f,counting,13
317,ce22a75a,selection,11
318,ce4f8723,addition,2
319,ce602527,reproduction,27
320,ce9e57f2,sequence,6
321,cf98881b,addition,2
322,d037b0a7,bars,6
323,d06dbe63,construction,15
324,d07ae81c,construction,15
325,d0f5fe59,counting,15
326,d10ecb37,unspecified,26
327,d13f3404,construction,15
328,d22278a0,nesting,21
329,d23f8c26,extraction,1
330,d2abd087,match_color,19
331,d364b489,selection,11
332,d406998b,unspecified,7
333,d43fd935,connection,9
334,d4469b4b,match_color,19
335,d4a91cb9,connection,9
336,d4f3cd78,filling,14
337,d511f180,match_color,19
338,d5d6de2d,filling,16
339,d631b094,counting,13
340,d687bc17,attraction,5
341,d6ad076f,connection,9
342,d89b689b,assemble,4
343,d8c310e9,replication,22
344,d90796e8,removal,25
345,d9f24cd1,bars,6
346,d9fac9be,selection,30
347,dae9d2b5,combination,2
348,db3e9e38,pattern,15
349,db93a21d,nesting,11
350,dbc1a6ce,connection,9
351,dc0a314f,completion,8
352,dc1df850,nesting,21
353,dc433765,placement,23
354,ddf7fa4f,match_color,19
355,de1cd16c,selection,30
356,ded97339,connection,9
357,e179c5f4,construction,15
358,e21d9049,replication,7
359,e26a3af2,extraction,1
360,e3497940,addition,2
361,e40b9e2f,symmetry,32
362,e48d4e1a,placement,23
363,e5062a87,placement,23
364,e509e548,match_color,19
365,e50d258f,extraction,26
366,e6721834,placement,23
367,e73095fd,filling,16
368,e76a88a6,contamination,22
369,e8593010,filling,16
370,e8dc4411,construction,15
371,e9614598,construction,11
372,e98196ab,addition,2
373,e9afcf9a,pattern,7
374,ea32f347,counting,13
375,ea786f4a,symmetry,15
376,eb281b96,symmetry,32
377,eb5a1d5d,placement,23
378,ec883f72,construction,15
379,ecdecbb3,connection,9
380,ed36ccf7,rotation,28
381,ef135b50,connection,9
382,f15e1fac,bars,6
383,f1cefba8,construction,11
384,f25fbde4,reproduction,27
385,f25ffba3,symmetry,32
386,f2829549,extraction,1
387,f35d900a,nesting,21
388,f5b8619d,reproduction,27
389,f76d97a5,filling,26
390,f8a8fe49,rotation,28
391,f8b3ba0a,counting,13
392,f8c80d96,nesting,11
393,f8ff0b80,sequence,17
394,f9012d9b,filling,22
395,fafffa47,extraction,1
396,fcb5c309,selection,26
397,fcc82909,completion,11
398,feca6190,construction,15
399,ff28f65a,counting,7
400,ff805c23,symmetry,22
